track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart
"""Slut!"" (Taylor's Version) (From The Vault)",189037,Taylor Swift,spotify:track:71BqAINEnezjQfxE4VuJfq,Taylor Swift,106,106,-1,1
00:00 (Zero O’Clock),772422,BTS,spotify:track:4AlihYDqxXshKhvh5tnMfP,BIGHIT MUSIC,21,21,-1,8
0X1=LOVESONG (I Know I Love You) feat. Seori,639294,"TOMORROW X TOGETHER, Seori",spotify:track:1Z8TPHiKeCUyClxV6WTTIf,Republic Records - TXT,70,70,-1,11
1 Billion Views,206284,"EXO-SC, Moon Sujin",spotify:track:4gGZc6MMYavM5KFS2zwOVL,SM Entertainment,91,91,-1,3
1%,4038730,Stamp,spotify:track:2ht9QvYzzSUod5T69TUVbR,123Records,10,10,-1,33
"10,000 Hours (with Justin Bieber)",8177601,"Dan + Shay, Justin Bieber",spotify:track:2wrJq5XKLnmhRXHIAf9xBa,Warner Music Nashville,11,11,-1,118
100,56959,SuperM,spotify:track:65x81o2eIyfQT6hpQkCKhj,SM Entertainment/Capitol Records,179,179,-1,1
1001 (You're Lovely),11404184,SERIOUS BACON,spotify:track:7ip4DUtdpLH4TkHfKgFbpf,Boxx Music,10,10,-1,80
11 Minutes (with Halsey feat. Travis Barker),160127,"YUNGBLUD, Halsey, Travis Barker",spotify:track:4mGdjNMo0RonTlOEb7cYg4,Locomotion Recordings/Geffen Records,84,84,-1,5
119,38616,NCT DREAM,spotify:track:0AHpMhCdgaz00aMkoEZTXd,SM Entertainment,171,171,-1,1
134340,144760,BTS,spotify:track:1MX0g22bQkr9HDVe37fLnN,BIGHIT MUSIC,15,87,-1,4
149.6,251344,Bodyslam,spotify:track:6FZfxnZ1qoVoL5EpQXXWOx,GMM Music Public Company Limited,27,27,-1,7
17,27218108,Dept,spotify:track:3LejSFG20mSl4IzORHa7Ya,Smallroom,3,3,-1,78
17 นาที (feat. mints),5981380,"MILLI, mints",spotify:track:1CfKHIQhgKrUMAkj4VwI4J,Yupp! Entertainment/88rising Music,4,4,-1,25
18,46249,Jeremy Zucker,spotify:track:4h7CVH9xtHoYSlEV5Dpamk,Republic Records,165,165,-1,1
1°,68050,GOT7,spotify:track:6y6ahMwoZniXQNurGMT296,Republic Records - JYP Entertainment,110,110,-1,2
2 Baddies,668832,NCT 127,spotify:track:1WKLxJpDqkQ9x1qEDNutoX,SM Entertainment,68,68,-1,6
2 Fast,75082,SuperM,spotify:track:5U3DWGGD8mFYcDhoMxpQPD,SM Entertainment/Capitol Records,82,82,-1,1
2 faces,305729,Mark Tuan,spotify:track:3I7s9xEyLFWbEDtsv7vYt3,DREAMERS N ACHIEVERS,58,58,-1,1
2 soon,6235563,keshi,spotify:track:5SlU0Yhi51jobhEiGE4xDv,keshi,97,97,-1,103
200,483086,MARK,spotify:track:7rx73Y7UB1gy6bOLqJvsRe,SM Entertainment,104,104,-1,2
2002,8466527,Anne-Marie,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Atlantic Records UK,14,63,-1,188
20cm,352413,TOMORROW X TOGETHER,spotify:track:5TxtM4vmk6pXpgq8lJtvB0,Republic Records - TXT,100,100,-1,5
20ตุลา,101947,Silly Fools,spotify:track:0N6LtfTaauUS8o69K4xmS7,ME Records,61,61,-1,3
22 (Taylor's Version),67089,Taylor Swift,spotify:track:3yII7UwgLF6K5zW3xad3MP,Taylor Swift,120,120,-1,1
24/7,1128096,"Celina Sharma, Harris J.",spotify:track:304uzYXYjPulJpLRJzuesX,Mugal Records,68,68,-1,15
"24/7, 365",939006,elijah woods,spotify:track:05QUYSOApWLr8oBbpONl7p,elijah woods,176,176,-1,6
247,7856246,LUSS,spotify:track:7AQFhodzN09DtXGiIDtFrd,WM/Thailand,21,21,-1,67
26,52770,Lauv,spotify:track:0du67LyuJeUjQChxl8rTa8,Lauv,199,199,-1,1
