track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,bpm,key,mode,danceability%,positiveness%,energy%,acousticness%,instrumentalness%,liveness%,speechness%
"""Slut!"" (Taylor's Version) (From The Vault)",189037,Taylor Swift,spotify:track:71BqAINEnezjQfxE4VuJfq,Taylor Swift,106,106,-1,1,78,G,Major,63,31,41,32,0,6,6
00:00 (Zero O’Clock),772422,BTS,spotify:track:4AlihYDqxXshKhvh5tnMfP,BIGHIT MUSIC,21,21,-1,8,158,C#,Major,56,20,55,8,0,11,7
0X1=LOVESONG (I Know I Love You) feat. Seori,639294,"TOMORROW X TOGETHER, Seori",spotify:track:1Z8TPHiKeCUyClxV6WTTIf,Republic Records - TXT,70,70,-1,11,105,C,Major,58,48,84,6,0,7,8
1 Billion Views,206284,"EXO-SC, Moon Sujin",spotify:track:4gGZc6MMYavM5KFS2zwOVL,SM Entertainment,91,91,-1,3,112,C,Minor,74,61,73,36,0,10,4
1%,4038730,Stamp,spotify:track:2ht9QvYzzSUod5T69TUVbR,123Records,10,10,-1,33,116,G#,Major,63,52,57,58,0,12,4
"10,000 Hours (with Justin Bieber)",8177601,"Dan + Shay, Justin Bieber",spotify:track:2wrJq5XKLnmhRXHIAf9xBa,Warner Music Nashville,11,11,-1,118,90,A#,Major,65,43,63,15,0,11,3
100,56959,SuperM,spotify:track:65x81o2eIyfQT6hpQkCKhj,SM Entertainment/Capitol Records,179,179,-1,1,115,G,Major,69,40,86,3,0,36,5
1001 (You're Lovely),11404184,SERIOUS BACON,spotify:track:7ip4DUtdpLH4TkHfKgFbpf,Boxx Music,10,10,-1,80,95,E,Major,68,39,57,71,0,25,3
11 Minutes (with Halsey feat. Travis Barker),160127,"YUNGBLUD, Halsey, Travis Barker",spotify:track:4mGdjNMo0RonTlOEb7cYg4,Locomotion Recordings/Geffen Records,84,84,-1,5,160,B,Major,46,23,85,1,0,11,7
119,38616,NCT DREAM,spotify:track:0AHpMhCdgaz00aMkoEZTXd,SM Entertainment,171,171,-1,1,104,C,Major,70,50,88,12,0,7,6
134340,144760,BTS,spotify:track:1MX0g22bQkr9HDVe37fLnN,BIGHIT MUSIC,15,87,-1,4,106,B,Minor,66,65,69,16,0,17,5
149.6,251344,Bodyslam,spotify:track:6FZfxnZ1qoVoL5EpQXXWOx,GMM Music Public Company Limited,27,27,-1,7,156,E,Minor,45,34,88,1,0,8,6
17,27218108,Dept,spotify:track:3LejSFG20mSl4IzORHa7Ya,Smallroom,3,3,-1,78,121,A#,Major,75,97,78,5,0,13,4
17 นาที (feat. mints),5981380,"MILLI, mints",spotify:track:1CfKHIQhgKrUMAkj4VwI4J,Yupp! Entertainment/88rising Music,4,4,-1,25,118,B,Major,95,72,45,12,0,13,16
18,46249,Jeremy Zucker,spotify:track:4h7CVH9xtHoYSlEV5Dpamk,Republic Records,165,165,-1,1,114,E,Major,78,61,60,4,0,11,4
1°,68050,GOT7,spotify:track:6y6ahMwoZniXQNurGMT296,Republic Records - JYP Entertainment,110,110,-1,2,95,C,Minor,77,59,62,9,0,36,9
2 Baddies,668832,NCT 127,spotify:track:1WKLxJpDqkQ9x1qEDNutoX,SM Entertainment,68,68,-1,6,172,D,Major,60,53,92,15,0,9,26
2 Fast,75082,SuperM,spotify:track:5U3DWGGD8mFYcDhoMxpQPD,SM Entertainment/Capitol Records,82,82,-1,1,130,F,Minor,47,50,74,23,0,10,10
2 faces,305729,Mark Tuan,spotify:track:3I7s9xEyLFWbEDtsv7vYt3,DREAMERS N ACHIEVERS,58,58,-1,1,140,D,Major,73,66,45,12,1,34,3
2 soon,6235563,keshi,spotify:track:5SlU0Yhi51jobhEiGE4xDv,keshi,97,97,-1,103,174,F#,Minor,52,15,66,15,0,32,4
200,483086,MARK,spotify:track:7rx73Y7UB1gy6bOLqJvsRe,SM Entertainment,104,104,-1,2,156,A,Major,54,65,82,0,0,10,14
2002,8466527,Anne-Marie,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Atlantic Records UK,14,63,-1,188,96,C#,Minor,70,60,68,4,0,14,12
20cm,352413,TOMORROW X TOGETHER,spotify:track:5TxtM4vmk6pXpgq8lJtvB0,Republic Records - TXT,100,100,-1,5,137,F#,Minor,66,61,55,3,0,18,3
20ตุลา,101947,Silly Fools,spotify:track:0N6LtfTaauUS8o69K4xmS7,ME Records,61,61,-1,3,126,F#,Major,49,23,70,57,1,37,3
22 (Taylor's Version),67089,Taylor Swift,spotify:track:3yII7UwgLF6K5zW3xad3MP,Taylor Swift,120,120,-1,1,104,G,Major,66,67,73,0,0,5,4
24/7,1128096,"Celina Sharma, Harris J.",spotify:track:304uzYXYjPulJpLRJzuesX,Mugal Records,68,68,-1,15,108,A#,Major,71,38,64,39,0,7,7
"24/7, 365",939006,elijah woods,spotify:track:05QUYSOApWLr8oBbpONl7p,elijah woods,176,176,-1,6,150,F#,Major,66,41,55,20,0,12,4
247,7856246,LUSS,spotify:track:7AQFhodzN09DtXGiIDtFrd,WM/Thailand,21,21,-1,67,93,G,Major,71,57,45,73,0,9,21
26,52770,Lauv,spotify:track:0du67LyuJeUjQChxl8rTa8,Lauv,199,199,-1,1,164,F#,Major,64,51,46,81,0,24,9
28 (feat. NiiHWA),656238,"Agust D, NiiHWA",spotify:track:3pGNUEIlaUlCU8mXxKInzw,BIGHIT MUSIC,64,64,-1,3,120,A,Minor,68,35,64,9,0,12,5
28 Reasons,190574,SEULGI,spotify:track:1dfsPqH09vnzUWEOsN98Ex,SM Entertainment,128,128,-1,2,122,F,Minor,77,49,65,21,0,14,10
2AM (คุณเคยรักใครมากๆมั้ย?),2765081,"Saran, BlackHeart, Rifle",spotify:track:50D7ptFXhgR9GZ9g7G20SF,SARAN,47,47,-1,8,140,A#,Major,86,36,38,84,0,14,8
2Drunk,46270,Nick Jonas,spotify:track:33o0xXMPY41CWwDTnxyM5Z,Island Records,194,194,-1,1,156,F#,Major,65,61,80,3,0,20,18
2U,110467,KANGDANIEL,spotify:track:00S4PrcWUb3f3dQ9PuC0uy,KONNECT Ent.,91,91,-1,2,96,D,Major,72,56,74,4,0,10,7
3 Nights,30996,Dominic Fike,spotify:track:1tNJrcVe6gwLEiZCtprs1u,Columbia,149,149,-1,1,152,G,Minor,82,88,52,22,0,10,9
34+35,11061190,Ariana Grande,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Republic Records,8,8,-1,90,110,C,Major,83,48,58,24,0,25,9
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",149992,"Ariana Grande, Doja Cat, Megan Thee Stallion",spotify:track:3jjBPF4NDMCU51psU8JPpR,Republic Records,63,63,-1,2,110,F,Major,66,70,66,21,0,23,43
365,286755,"Zedd, Katy Perry",spotify:track:2XWjPtKdi5sucFYtVav07d,Interscope Records,41,41,-1,6,98,D,Minor,74,25,69,34,0,12,3
3:00 AM,948777,Finding Hope,spotify:track:5HsSsEeP3hU9QSfHZrzbtA,Seeking Blue,123,123,-1,19,82,C,Minor,55,3,15,56,0,29,4
3D (feat. Jack Harlow),75271346,"Jung Kook, Jack Harlow",spotify:track:01qFKNWq73UfEslI0GvumE,BIGHIT MUSIC,2,2,-1,67,108,C#,Major,85,89,82,3,0,9,10
3am,273678,ROSÉ,spotify:track:3y4q6bBdbXsTIaPiwiiUfy,Atlantic Records,134,134,-1,1,150,D,Major,60,32,65,37,0,14,4
4:00,514701,THE TOYS,spotify:track:1PGNDa8dIRkOQ6VLvNHRdw,What The Duck,1,95,95,65,120,C#,Major,71,24,50,46,0,17,4
7 Days,261051,NCT DREAM,spotify:track:0nsL0AalAUFNCi7DYhnihQ,SM Entertainment,52,52,-1,3,100,F#,Minor,74,63,89,15,0,12,8
7 Minutes,43659,Dean Lewis,spotify:track:2BkyYZmU4JuWW2sYi9EzpC,Universal Music Australia Pty. Ltd.,187,187,-1,2,105,A#,Major,61,71,74,53,0,15,3
7 rings,6464343,Ariana Grande,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Republic Records,1,1,-1,79,140,C#,Minor,78,33,32,59,0,9,33
7YUPP,52452,"MILLI, Maiyarap, LAZYLOXY, AUTTA, Ben Bizzy, NAMEMT, Blacksheep",spotify:track:1vIHINaKCeFYHHHkyLpxQW,Yupp! Entertainment,189,189,-1,1,159,C#,Major,78,51,66,9,0,11,34
9 and Three Quarters (Run Away),365958,TOMORROW X TOGETHER,spotify:track:2MsNSKQNQNRklkKFxxvIav,Republic Records - TXT,66,66,-1,6,129,C#,Major,64,53,76,1,0,13,6
9 นาฬิกา,17745973,SPF,spotify:track:1RIcNj56JKuH0WB9AyNARB,Mono Music,42,42,-1,51,110,C#,Major,57,63,93,30,0,9,4
90's Love,1523084,NCT U,spotify:track:64EDGnUytmCV7TfOo67810,SM Entertainment,37,37,-1,17,108,C#,Minor,74,70,92,7,0,11,6
= (Equal Sign),390033,j-hope,spotify:track:70XnKsO3UnIT4FnEwChQXx,BIGHIT MUSIC,43,43,-1,3,106,A,Major,67,71,75,2,0,35,7
A Brand New Day (BTS World Original Soundtrack) (Pt. 2),250143,"BTS, Zara Larsson",spotify:track:5XkyZyKMdFungjDb9cUKc3,BIGHIT MUSIC,26,26,-1,4,105,G#,Minor,80,71,50,34,0,18,6
A Rocket to the Moon,17998045,GAVIN:D,spotify:track:4Tp1SRCTJ6LO8XA3i9vuAT,Gavin D,9,9,-1,117,148,D,Major,63,11,44,36,0,12,3
A Whole New World,98975,"Mena Massoud, Naomi Scott",spotify:track:5viFjDGTnrApmUY5c8qkfw,Walt Disney Records,136,136,-1,3,121,C,Major,40,13,38,22,0,14,3
"A Whole New World (End Title) - From ""Aladdin""",619113,"ZAYN, Zhavia",spotify:track:1iWHabUgUuuKLBa0TzTHfk,Walt Disney Records,16,16,-1,10,111,D,Major,30,10,41,6,0,9,3
A little thing,347822,Peck Palitchoke,spotify:track:0aaASxHyUk8kCiID0f0cNE,GMM Music Public Company Limited,50,50,-1,3,83,F,Major,74,42,45,62,0,9,10
ABCD,189485,NAYEON,spotify:track:53rB05bAi7JdNbUfgz72I1,Republic Records – NAYEON (TWICE),200,200,-1,1,106,D#,Minor,68,86,93,4,0,19,6
AH YEAH,73591,WINNER,spotify:track:2EhvCzRw0C7anZHsj284oX,YG Entertainment,92,92,-1,2,128,G,Major,80,88,72,36,0,18,4
ALICE,5390267,QLER,spotify:track:4nimbIVI2u2XUD70c1dOBu,What The Duck,70,70,-1,27,90,B,Major,65,56,64,5,1,10,3
AMYGDALA,422231,Agust D,spotify:track:5fj32MKLHkut2Vod1UodcU,BIGHIT MUSIC,64,64,-1,2,78,G,Major,31,16,77,23,0,10,6
ANGOSTURA,56917,keshi,spotify:track:38umMmZQdeoOG7Zojor4g3,Island Records,171,171,-1,1,170,F#,Major,54,20,66,41,0,11,5
ANL,126496,NCT DREAM,spotify:track:3zIvzPKUUdSpDCm1uua6Be,SM Entertainment,78,78,-1,2,158,F#,Minor,67,60,71,25,0,14,5
ANTIFRAGILE,4986420,LE SSERAFIM,spotify:track:4fsQ0K37TOXa3hEQfjEic1,SOURCE MUSIC,52,52,-1,29,105,A#,Minor,88,83,78,8,0,12,8
APT.,16738149,"ROSÉ, Bruno Mars",spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,Atlantic Records,5,5,-1,12,149,C,Minor,78,94,78,3,0,36,26
ASAP,1096066,NewJeans,spotify:track:5fpyAakgFOm4YTXkgfPzvV,ADOR,24,24,-1,4,130,C,Minor,93,37,49,47,0,10,16
AURA,41883,GOT7,spotify:track:7MthitzhOiulghCWPy3AhK,Republic Records - JYP Entertainment,180,180,-1,1,90,A,Minor,69,71,77,14,0,11,14
About You,1871103,The 1975,spotify:track:1fDFHXcykq4iw8Gg7s5hG9,Dirty Hit,136,136,-1,18,96,D,Major,42,46,76,31,80,6,3
