track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,bpm,key,mode,danceability%,positiveness%,energy%,acousticness%,instrumentalness%,liveness%,speechness%,clean_track_name,clean_artist_name,youtube_title,youtube_artist,publish_date,views,likes,video_url,youtube_source,clean_title_YT
"""Slut!"" (Taylor's Version) (From The Vault)",189037,Taylor Swift,spotify:track:71BqAINEnezjQfxE4VuJfq,Taylor Swift,106,106,-1,1,78.0,G,Major,63,31,41,32,0,6,6,sluttaylorsversionfromthevault,taylorswift,"Taylor Swift - ""Slut!"" (Taylor's Version) (From The Vault) (Lyric Video)",TaylorSwiftVEVO,2023-10-27T04:00:30Z,13358178,245185,https://www.youtube.com/watch?v=qrxsceexTBw,TaylorSwiftVEVO,taylorswiftsluttaylorsversionfromthevaultlyricvideo
00:00 (Zero O’Clock),772422,BTS,spotify:track:4AlihYDqxXshKhvh5tnMfP,BIGHIT MUSIC,21,21,-1,8,158.0,C#,Major,56,20,55,8,0,11,7,0000zerooclock,bts,BTS (방탄소년단) - 00:00 (Zero O'Clock) 교차편집 (Stage Mix),ctc0128,2022-01-01T13:30:04Z,51588238,484396,https://www.youtube.com/watch?v=KXvwqtinibk,ctc0128,bts0000zerooclockstagemix
0X1=LOVESONG (I Know I Love You) feat. Seori,639294,"TOMORROW X TOGETHER, Seori",spotify:track:1Z8TPHiKeCUyClxV6WTTIf,Republic Records - TXT,70,70,-1,11,105.0,C,Major,58,48,84,6,0,7,8,0x1lovesongiknowiloveyoufeatseori,tomorrowxtogetherseori,TXT (투모로우바이투게더) '0X1=LOVESONG (I Know I Love You) feat. Seori' Official MV,HYBE LABELS,2021-05-31T08:55:13Z,116497630,3851718,https://www.youtube.com/watch?v=d5bbqKYu51w,HYBE LABELS,txt0x1lovesongiknowiloveyoufeatseoriofficialmv
1 Billion Views,206284,"EXO-SC, Moon Sujin",spotify:track:4gGZc6MMYavM5KFS2zwOVL,SM Entertainment,91,91,-1,3,112.0,C,Minor,74,61,73,36,0,10,4,1billionviews,exoscmoonsujin,EXO-SC 세훈&찬열 '10억뷰 (1 Billion Views) (Feat. MOON)' MV,SMTOWN,2020-07-13T09:00:02Z,22228456,1367096,https://www.youtube.com/watch?v=9sLaT9eHAYQ,SMTOWN,exosc101billionviewsfeatmoonmv
1%,4038730,Stamp,spotify:track:2ht9QvYzzSUod5T69TUVbR,123Records,10,10,-1,33,116.0,G#,Major,63,52,57,58,0,12,4,1,stamp,THE TOYS - ลาลาลอย (100%)  [Official Music Video],Whattheduck,2018-10-18T14:00:07Z,180632107,845406,https://www.youtube.com/watch?v=jdiRSOkzQns,Whattheduck,thetoysลาลาลอย100officialmusicvideo
100,56959,SuperM,spotify:track:65x81o2eIyfQT6hpQkCKhj,SM Entertainment/Capitol Records,179,179,-1,1,115.0,G,Major,69,40,86,3,0,36,5,100,superm,THE TOYS - ลาลาลอย (100%)  [Official Music Video],Whattheduck,2018-10-18T14:00:07Z,180632107,845406,https://www.youtube.com/watch?v=jdiRSOkzQns,Whattheduck,thetoysลาลาลอย100officialmusicvideo
1001 (You're Lovely),11404184,SERIOUS BACON,spotify:track:7ip4DUtdpLH4TkHfKgFbpf,Boxx Music,10,10,-1,80,95.0,E,Major,68,39,57,71,0,25,3,1001yourelovely,seriousbacon,1001 (You’re Lovely) - SERIOUS BACON [ Official Lyrics ],SERIOUS BACON,2021-02-26T15:00:18Z,14361580,211020,https://www.youtube.com/watch?v=iO8ouMrxFM8,SERIOUS BACON,1001yourelovelyseriousbaconofficiallyrics
119,38616,NCT DREAM,spotify:track:0AHpMhCdgaz00aMkoEZTXd,SM Entertainment,171,171,-1,1,104.0,C,Major,70,50,88,12,0,7,6,119,nctdream,NCT DREAM (엔시티 드림) - ’119’ LYRICS [HAN|ROM|ENG COLOR CODED] 가사,luhvn,2019-07-26T12:12:01Z,11024975,167781,https://www.youtube.com/watch?v=BXA73nlzPKE,luhvn,nctdream119lyricshanromengcolorcoded
134340,144760,BTS,spotify:track:1MX0g22bQkr9HDVe37fLnN,BIGHIT MUSIC,15,87,-1,4,106.0,B,Minor,66,65,69,16,0,17,5,134340,bts,134340,BTS - Topic,2018-05-28T15:13:48Z,31194991,635719,https://www.youtube.com/watch?v=lu0XVRP_Bfc,BTS - Topic,134340
149.6,251344,Bodyslam,spotify:track:6FZfxnZ1qoVoL5EpQXXWOx,GMM Music Public Company Limited,27,27,-1,7,156.0,E,Minor,45,34,88,1,0,8,6,1496,bodyslam,149.6 - bodyslam「Official MV」,Genierock,2018-12-21T11:00:04Z,9542630,70394,https://www.youtube.com/watch?v=HsPX-R__XrM,Genierock,1496bodyslamofficialmv
