track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,clean_track_name
"10,000 Hours (with Justin Bieber)",8177601,"Dan + Shay, Justin Bieber",spotify:track:2wrJq5XKLnmhRXHIAf9xBa,Warner Music Nashville,11,11,-1,118,10000hourswithjustinbieber
11 Minutes (with Halsey feat. Travis Barker),160127,"YUNGBLUD, Halsey, Travis Barker",spotify:track:4mGdjNMo0RonTlOEb7cYg4,Locomotion Recordings/Geffen Records,84,84,-1,5,11minuteswithhalseyfeattravisbarker
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",149992,"Ariana Grande, Doja Cat, Megan Thee Stallion",spotify:track:3jjBPF4NDMCU51psU8JPpR,Republic Records,63,63,-1,2,3435remixfeatdojacatmegantheestallionremix
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",9531161,"Kodak Black, NLE Choppa, Jimin, JVKE, Muni Long, Fast & Furious: The Fast Saga",spotify:track:1vvcEHQdaUTvWt0EIUYcFK,APG Inc – FF10,1,1,-1,10,angelpt1featjiminofbtsjvkemunilong
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",2310551,"JVKE, Jimin, Charlie Puth, Muni Long, Fast & Furious: The Fast Saga",spotify:track:2yjeXq5ahx6UUg2rHaUe6X,APG Inc – FF10,4,4,-1,5,angelpt2featjiminofbtscharlieputhandmunilong
Anxiety (with Selena Gomez),73903,"Julia Michaels, Selena Gomez",spotify:track:1XJ93XskwJf7PCyIVLbNBt,Republic Records,127,127,-1,3,anxietywithselenagomez
Antisocial (with Travis Scott),269970,"Ed Sheeran, Travis Scott",spotify:track:1DhRbox3xkceP64k3JeYfW,Atlantic Records UK,48,48,-1,4,antisocialwithtravisscott
As I Am (feat. Khalid),643352,"Justin Bieber, Khalid",spotify:track:6F2r4HgpJnvKDmkN6JEN6J,RBMG/Def Jam,51,51,-1,6,asiamfeatkhalid
BAND4BAND (feat. Lil Baby),401602,"Central Cee, Lil Baby",spotify:track:7iabz12vAuVQYyekFIWJxD,Columbia,194,194,-1,2,band4bandfeatlilbaby
Bam Bam (feat. Ed Sheeran),599917,"Camila Cabello, Ed Sheeran",spotify:track:0QBzMgT7NIeoCYy3sJCof1,Epic,87,87,-1,9,bambamfeatedsheeran
