track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,bpm,key,mode,danceability%,positiveness%,energy%,acousticness%,instrumentalness%,liveness%,speechness%,clean_track_name,clean_artist_name,youtube_title,youtube_artist,publish_date,views,likes,video_url,youtube_source,clean_title_YT
"""Slut!"" (Taylor's Version) (From The Vault)",189037,Taylor Swift,spotify:track:71BqAINEnezjQfxE4VuJfq,Taylor Swift,106,106,-1,1,78.0,G,Major,63,31,41,32,0,6,6,sluttaylorsversionfromthevault,taylorswift,"Taylor Swift - ""Slut!"" (Taylor's Version) (From The Vault) (Lyric Video)",TaylorSwiftVEVO,2023-10-27 04:00:30+00:00,13358178,245185,https://www.youtube.com/watch?v=qrxsceexTBw,TaylorSwiftVEVO,taylorswiftsluttaylorsversionfromthevaultlyricvideo
00:00 (Zero O’Clock),772422,BTS,spotify:track:4AlihYDqxXshKhvh5tnMfP,BIGHIT MUSIC,21,21,-1,8,158.0,C#,Major,56,20,55,8,0,11,7,0000zerooclock,bts,BTS (방탄소년단) - 00:00 (Zero O'Clock) 교차편집 (Stage Mix),ctc0128,2022-01-01 13:30:04+00:00,51588238,484396,https://www.youtube.com/watch?v=KXvwqtinibk,ctc0128,bts0000zerooclockstagemix
0X1=LOVESONG (I Know I Love You) feat. Seori,639294,"TOMORROW X TOGETHER, Seori",spotify:track:1Z8TPHiKeCUyClxV6WTTIf,Republic Records - TXT,70,70,-1,11,105.0,C,Major,58,48,84,6,0,7,8,0x1lovesongiknowiloveyoufeatseori,tomorrowxtogetherseori,TXT (투모로우바이투게더) '0X1=LOVESONG (I Know I Love You) feat. Seori' Official MV,HYBE LABELS,2021-05-31 08:55:13+00:00,116497630,3851718,https://www.youtube.com/watch?v=d5bbqKYu51w,HYBE LABELS,txt0x1lovesongiknowiloveyoufeatseoriofficialmv
1 Billion Views,206284,"EXO-SC, Moon Sujin",spotify:track:4gGZc6MMYavM5KFS2zwOVL,SM Entertainment,91,91,-1,3,112.0,C,Minor,74,61,73,36,0,10,4,1billionviews,exoscmoonsujin,EXO-SC 세훈&찬열 '10억뷰 (1 Billion Views) (Feat. MOON)' MV,SMTOWN,2020-07-13 09:00:02+00:00,22228456,1367096,https://www.youtube.com/watch?v=9sLaT9eHAYQ,SMTOWN,exosc101billionviewsfeatmoonmv
1001 (You're Lovely),11404184,SERIOUS BACON,spotify:track:7ip4DUtdpLH4TkHfKgFbpf,Boxx Music,10,10,-1,80,95.0,E,Major,68,39,57,71,0,25,3,1001yourelovely,seriousbacon,1001 (You’re Lovely) - SERIOUS BACON [ Official Lyrics ],SERIOUS BACON,2021-02-26 15:00:18+00:00,14361580,211020,https://www.youtube.com/watch?v=iO8ouMrxFM8,SERIOUS BACON,1001yourelovelyseriousbaconofficiallyrics
119,38616,NCT DREAM,spotify:track:0AHpMhCdgaz00aMkoEZTXd,SM Entertainment,171,171,-1,1,104.0,C,Major,70,50,88,12,0,7,6,119,nctdream,NCT DREAM (엔시티 드림) - ’119’ LYRICS [HAN|ROM|ENG COLOR CODED] 가사,luhvn,2019-07-26 12:12:01+00:00,11024975,167781,https://www.youtube.com/watch?v=BXA73nlzPKE,luhvn,nctdream119lyricshanromengcolorcoded
17,27218108,Dept,spotify:track:3LejSFG20mSl4IzORHa7Ya,Smallroom,3,3,-1,78,121.0,A#,Major,75,97,78,5,0,13,4,17,dept,Dept - 17 | Hoo Hoo [Official MV],SMALLROOM,2022-09-28 12:00:13+00:00,24943717,194051,https://www.youtube.com/watch?v=6QdC2thAUUg,SMALLROOM,dept17hoohooofficialmv
17 นาที (feat. mints),5981380,"MILLI, mints",spotify:track:1CfKHIQhgKrUMAkj4VwI4J,Yupp! Entertainment/88rising Music,4,4,-1,25,118.0,B,Major,95,72,45,12,0,13,16,17นาทีfeatmints,millimints,17 นาที (feat. mints),MILLI - Topic,2024-11-17 10:01:03+00:00,7053,38,https://www.youtube.com/watch?v=zIrxmn0m8zY,MILLI - Topic,17นาทีfeatmints
2 Baddies,668832,NCT 127,spotify:track:1WKLxJpDqkQ9x1qEDNutoX,SM Entertainment,68,68,-1,6,172.0,D,Major,60,53,92,15,0,9,26,2baddies,nct127,NCT 127 엔시티 127 '질주 (2 Baddies)' MV,SMTOWN,2022-09-15 09:00:07+00:00,105225937,1328527,https://www.youtube.com/watch?v=FRilMXZqNhA,SMTOWN,nct1271272baddiesmv
2 Fast,75082,SuperM,spotify:track:5U3DWGGD8mFYcDhoMxpQPD,SM Entertainment/Capitol Records,82,82,-1,1,130.0,F,Minor,47,50,74,23,0,10,10,2fast,superm,2 Fast,SuperM - Topic,2019-10-04 04:03:43+00:00,2319245,31248,https://www.youtube.com/watch?v=7kr8isoN32U,SuperM - Topic,2fast
